"Starters;MP;FG;FGA;FG%;3P;3PA;3P%;FT;FTA;FT%;ORB;DRB;TRB;AST;STL;BLK;TOV;PF;PTS;GmSc;+/-;TS%;eFG%;3PAr;FTr;ORB%;DRB%;TRB%;AST%;STL%;BLK%;TOV%;USG%;ORtg;DRtg;BPM;Result"
"Taurean Prince;25:04:00;1;5;.200;1;3;.333;0;0;;1;3;4;4;1;0;0;1;3;4.9;8;.300;.300;.600;.000;4.0;10.1;7.3;17.4;1.9;0.0;0.0;8.4;111;99;-1.8;W"
"Andre Jackson Jr.;14:29;1;3;.333;1;2;.500;0;0;;2;2;4;1;0;0;0;1;3;3.6;-8;.500;.500;.667;.000;13.8;11.6;12.6;7.8;0.0;0.0;0.0;8.7;141;103;-1.6;W"
"Gary Trent Jr.;26:39:00;7;11;.636;7;10;.700;0;0;;0;1;1;1;0;0;0;2;21;16.3;31;.955;.955;.909;.000;0.0;3.2;1.7;5.4;0.0;0.0;0.0;17.4;171;107;12.2;W"
"Bobby Portis;21:38;7;14;.500;0;1;.000;2;2;1.000;3;5;8;3;0;0;1;1;16;13.3;16;.538;.500;.071;.143;13.9;19.5;16.9;21.8;0.0;0.0;6.3;31.0;119;100;1.2;W"
"Pat Connaughton;16:18;1;2;.500;0;0;;0;0;;0;5;5;3;0;0;1;1;2;3.2;10;.500;.500;.000;.000;0.0;25.8;14.0;20.5;0.0;0.0;33.3;7.8;104;97;-3.1;W"
"Ryan Rollins;14:09;3;5;.600;1;3;.333;0;0;;0;0;0;1;1;0;1;1;7;5.0;21;.700;.700;.600;.000;0.0;0.0;0.0;9.5;3.4;0.0;16.7;17.9;111;100;0.4;W"
"Tyler Smith;3:57;2;3;.667;2;2;1.000;0;0;;1;1;2;0;0;0;0;1;6;5.3;3;.000;.000;1.000;.000;0.0;42.6;23.1;26.4;0.0;0.0;0.0;10.7;62;89;-3.7;W"
"Stanley Umude;3:57;1;3;.333;0;0;;0;0;;0;0;0;0;0;0;0;1;2;-0.1;3;.000;.000;.000;.000;0.0;21.3;11.6;52.8;0.0;0.0;0.0;10.7;98;99;-0.7;W"
"MarJon Beauchamp;3:57;0;1;.000;0;1;.000;0;0;;0;2;2;1;0;0;0;0;0;0.6;3;;;;;0.0;64.0;34.7;0.0;0.0;0.0;;0.0;0;79;-5.4;W"
"AJ Johnson;3:57;0;1;.000;0;0;;0;0;;0;1;1;2;0;0;0;0;0;1.0;3;1.000;1.000;.667;.000;25.3;21.3;23.1;0.0;0.0;0.0;0.0;32.0;178;98;34.2;W"
"Chris Livingston;3:57;0;0;;0;0;;0;0;;0;3;3;0;0;0;0;1;0;0.5;3;.333;.333;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;32.0;68;107;-24.1;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Brook Lopez;41:09:00;4;10;.400;3;7;.429;2;2;1.000;2;2;4;1;0;3;0;2;13;11.6;0;.597;.550;.700;.200;5.8;4.8;5.2;3.6;0.0;5.6;0.0;11.9;128;127;0.9;L"
"Damian Lillard;39:54:00;6;16;.375;1;9;.111;16;17;.941;1;9;10;10;1;1;4;2;29;27.1;-1;.618;.406;.563;1.063;3.0;22.1;13.5;40.4;1.2;1.9;14.6;30.9;124;122;5.5;L"
"Taurean Prince;37:18:00;5;8;.625;4;7;.571;0;0;;0;6;6;4;1;0;0;1;14;15.6;-10;.875;.875;.875;.000;0.0;15.8;8.7;16.8;1.3;0.0;0.0;9.6;170;125;7.9;L"
"Giannis Antetokounmpo;35:00:00;12;22;.545;0;1;.000;12;15;.800;2;11;13;1;0;1;4;3;36;25.1;-10;.629;.545;.045;.682;6.9;30.8;20.0;6.7;0.0;2.2;12.3;41.8;113;122;1.3;L"
"Andre Jackson Jr.;10:51;2;3;.667;0;0;;0;0;;0;2;2;1;0;0;1;2;4;2.2;-2;.667;.667;.000;.000;0.0;18.1;9.9;15.7;0.0;0.0;25.0;16.5;99;127;-5.3;L"
"Gary Trent Jr.;33:33:00;7;11;.636;5;9;.556;0;0;;0;2;2;2;0;0;3;3;19;11.9;-11;.864;.864;.818;.000;0.0;5.8;3.2;10.6;0.0;0.0;21.4;18.7;118;131;2.0;L"
"Khris Middleton;19:24;0;4;.000;0;2;.000;0;0;;0;4;4;1;0;0;0;4;0;-2.5;-16;.000;.000;.500;.000;0.0;20.2;11.1;6.7;0.0;0.0;0.0;9.3;17;127;-17.7;L"
"Ryan Rollins;9:52;0;3;.000;0;0;;0;0;;0;0;0;2;0;0;1;3;0;-2.9;-13;.000;.000;.000;.000;0.0;0.0;0.0;26.3;0.0;0.0;25.0;18.2;31;133;-23.4;L"
"Pat Connaughton;9:25;0;1;.000;0;0;;0;0;;0;1;1;2;0;0;0;1;0;0.6;7;.000;.000;.000;.000;0.0;10.4;5.7;27.6;0.0;0.0;0.0;4.8;90;130;-3.8;L"
"Tyler Smith;1:11;1;1;1.000;0;0;;0;0;;0;0;0;0;0;0;0;0;2;1.7;2;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;133;-5.3;L"
"MarJon Beauchamp;1:11;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0.0;2;1.000;1.000;.000;.000;0.0;0.0;0.0;0.0;0.0;0.0;0.0;37.9;200;133;26.4;L"
"Stanley Umude;1:11;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0.0;2;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;133;-4.2;L"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Damian Lillard;41:26:00;14;22;.636;4;10;.400;3;4;.750;0;5;5;8;0;1;6;0;35;26.6;9;.737;.727;.455;.182;0.0;10.3;6.3;25.9;0.0;2.5;20.2;32.7;119;116;2.7;W"
"Giannis Antetokounmpo;36:37:00;16;23;.696;0;1;.000;3;10;.300;1;17;18;7;2;0;2;2;35;32.4;19;.639;.696;.043;.435;3.6;39.8;25.6;29.6;2.6;0.0;6.8;36.5;125;97;9.9;W"
"Brook Lopez;35:29:00;4;8;.500;1;4;.250;1;1;1.000;2;4;6;1;0;3;0;3;10;10.2;23;.592;.563;.500;.125;7.5;9.7;8.8;2.9;0.0;8.8;0.0;10.8;131;113;-2.1;W"
"Taurean Prince;32:08:00;2;6;.333;2;5;.400;0;0;;0;4;4;8;2;0;1;4;6;8.8;3;.500;.500;.833;.000;0.0;10.7;6.5;24.4;3.0;0.0;14.3;9.9;124;109;2.1;W"
"Andre Jackson Jr.;25:40:00;3;3;1.000;0;0;;0;0;;2;3;5;2;2;0;1;4;6;8.2;9;1.000;1.000;.000;.000;10.4;10.0;10.2;8.1;3.8;0.0;25.0;7.1;163;108;2.1;W"
"Gary Trent Jr.;27:11:00;2;9;.222;2;7;.286;2;2;1.000;0;2;2;2;0;1;0;0;8;5.2;7;.405;.333;.778;.222;0.0;6.3;3.8;7.3;0.0;3.8;0.0;16.5;94;117;-6.9;W"
"Khris Middleton;27:01:00;10;13;.769;2;5;.400;0;0;;0;3;3;3;0;0;1;3;22;17.7;2;.846;.846;.385;.000;0.0;9.5;5.8;15.6;0.0;0.0;7.1;23.6;150;117;4.6;W"
"Ryan Rollins;7:26;0;0;;0;0;;0;0;;0;0;0;1;0;0;1;2;0;-1.1;6;;;;;0.0;0.0;0.0;12.4;0.0;0.0;100.0;6.1;54;121;-15.7;W"
"Pat Connaughton;7:02;1;2;.500;1;2;.500;0;0;;0;3;3;1;0;0;0;0;3;3.6;-3;.750;.750;1.000;.000;0.0;36.6;22.3;15.1;0.0;0.0;0.0;12.9;154;105;7.5;W"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Damian Lillard;38:25:00;7;17;.412;2;6;.333;4;4;1.000;0;3;3;6;1;0;0;1;20;16.6;-9;.533;.471;.353;.235;0.0;8.5;4.3;21.3;1.3;0.0;0.0;22.1;123;132;-1.1;L"
"Giannis Antetokounmpo;35:55:00;17;24;.708;0;0;;5;10;.500;4;8;12;5;0;0;4;4;39;30.1;-11;.687;.708;.000;.417;12.1;24.3;18.2;31.4;0.0;0.0;12.3;40.9;126;129;7.8;L"
"Brook Lopez;34:44:00;4;12;.333;3;9;.333;0;0;;0;3;3;3;1;1;1;2;11;7.1;-7;.458;.458;.750;.000;0.0;9.4;4.7;10.8;1.4;2.3;7.7;17.0;95;130;-4.1;L"
"Andre Jackson Jr.;26:07:00;3;3;1.000;1;1;1.000;2;2;1.000;2;5;7;5;1;0;3;2;9;11.7;-16;1.160;1.167;.333;.667;8.4;20.9;14.6;23.9;1.9;0.0;43.6;11.9;142;126;6.2;L"
"Taurean Prince;19:59;2;5;.400;0;2;.000;0;0;;0;2;2;0;1;0;0;4;4;1.3;-4;.400;.400;.400;.000;0.0;10.9;5.5;0.0;2.5;0.0;0.0;11.3;82;128;-11.6;L"
"Gary Trent Jr.;27:26:00;4;11;.364;3;10;.300;0;0;;1;3;4;3;3;0;0;1;11;11.2;-7;.500;.500;.909;.000;4.0;11.9;8.0;14.2;5.5;0.0;0.0;18.2;116;122;4.0;L"
"Khris Middleton;15:28;0;2;.000;0;1;.000;0;0;;0;1;1;1;0;0;1;3;0;-2.6;-6;.000;.000;.500;.000;0.0;7.1;3.5;7.1;0.0;0.0;33.3;8.8;22;136;-21.5;L"
"Ryan Rollins;15:09;4;5;.800;1;2;.500;0;0;;1;0;1;0;0;0;0;3;9;6.6;-7;.900;.900;.400;.000;7.2;0.0;3.6;0.0;0.0;0.0;0.0;15.0;175;138;0.3;L"
"Pat Connaughton;13:34;2;5;.400;0;1;.000;0;0;;1;1;2;2;0;1;1;1;4;3.0;2;.400;.400;.200;.000;8.0;8.0;8.0;19.2;0.0;5.9;16.7;20.0;91;132;-6.0;L"
"MarJon Beauchamp;6:27;1;1;1.000;1;1;1.000;0;0;;0;1;1;1;0;0;0;1;3;3.3;-4;1.500;1.500;1.000;.000;0.0;16.9;8.5;20.4;0.0;0.0;0.0;7.0;276;132;12.6;L"
"Stanley Umude;3:23;0;2;.000;0;2;.000;2;2;1.000;0;0;0;0;1;0;1;0;2;0.6;2;;;;;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0;139;-7.9;L"
"Chris Livingston;3:23;0;0;;0;0;;0;0;;0;0;0;0;0;0;0;0;0;0.0;2;.347;.000;1.000;1.000;0.0;0.0;0.0;0.0;14.8;0.0;25.8;52.0;56;106;-19.4;L"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;"
"Damian Lillard;37:29:00;6;17;.353;3;7;.429;7;7;1.000;1;2;3;7;0;1;1;2;22;17.6;-16;.548;.441;.412;.412;2.2;6.0;3.8;25.4;0.0;2.5;4.7;22.2;128;147;0.0;L"
